Country,Code,ContinentCode,Year,Exports of goods and services as percent of GDP,Imports of goods and services as percent of GDP,Government spending as percent of GDP,Government debt as percent of GDP,Tax revenue percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Human rights and rule of law index 0 (high) - 10 (low),External interventions index 0 (low) - 10 (high),GDP per capita constant 2010 dollars,Economic growth forecast,Income from natural resources percent of GDP,Revenue minus production cost of oil percent of GDP,Revenue minus production cost of natural gas percent of GDP,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Trade freedom index (0-100),Economic freedom overall index (0-100),Health spending as percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners,Globalization index (0-100),Economic globalization index (0-100),Military spending percent of GDP,Human Development Index (0 - 1),GDP per capita constant 2010 dollars,Fragile state index 0 (low) - 120 (high),Factionalized elites index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),,,,,,,,,,,,Revenue minus production cost of oil percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners
Afghanistan,AFG,AS,2018,,,,7.38,,-1.67,-1.46,-1.5,-1.13,-0.99,-2.75,16,5,6,,,,,8.2,9.4,564.61,1.19,0.67,0,0,,18,26,53,66,51,9.4,,,,38.52,32.64,1.01,0.496,564.61,106.6,8.6,8.3,7.8,9.4,,,,,,,,,,,,0,,,
Albania,ALB,EU,2018,31.59,45.26,11.29,67.69,18.56,-0.39,0.11,-0.52,0.27,0.21,0.38,36,3,3,4.3,1.3,4.3,3.9,4.5,7,5074.86,4.07,2.35,1.95,0.04,30,54,40,69,88,65,5.26,,,,66.65,68.7,1.17,0.791,5074.86,60.1,6.5,5.7,3.3,7,,,,,,,,,,,,1.35,,,24.9
Algeria,DZA,AF,2018,25.79,32.11,17.15,37.82,,-0.78,-0.44,-0.63,-1.26,-0.98,-0.83,35,6,5,3.6,3.6,3.5,3.7,6.3,4.6,4753.51,1.2,19.02,15.77,3.11,23.9,28,29,68,64,45,6.22,,,,56.15,38.3,5.51,0.759,4753.51,75.8,7.1,6.3,6.3,4.6,,,,,,,,,,,,12.85,,,
Andorra,AND,EU,2018,,,,36.1,,1.61,1.94,1.24,1.19,1.07,1.42,,1,1,,,,,,,45133.71,,0,,,,,,,,,6.71,,,,50.38,,,0.857,45133.71,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AF,2018,40.84,25.54,10.47,89,,-1.05,-1.05,-1.14,-0.88,-0.92,-0.32,19,6,6,2.1,2,2.6,3.3,7,5.1,3233.91,-2,26.77,25.62,0.78,,36,19,58,60,49,2.55,,32.3,39.6,42.81,42.09,1.81,0.574,3233.91,89.4,7.2,6.3,9.6,5.1,,,,,,,,,,,,10.29,,,
Antigua and Barbuda,ATG,NA,2018,71.74,69.46,16.39,78.53,,0.41,-0.01,0.28,0.41,0.6,0.85,,2,2,,,,,4.4,5.8,15134.88,6.95,0,0,,,,,,,,5.23,,,,58.1,61.25,,0.776,15134.88,55.6,3.7,4.8,4.2,5.8,,,,,,,,,,,,0,,,
Argentina,ARG,SA,2018,14.62,16.56,16.38,86.4,10.13,-0.24,0.03,-0.07,-0.29,0.56,0.02,40,2,2,3.4,2.5,3.7,4.3,3.8,4.3,10049.56,-2.57,2.24,1.38,0.39,30.7,41,33,56,70,52,9.62,,32,29.9,71.31,50.29,0.75,0.83,10049.56,46.1,2.8,4.2,5.1,4.3,,,,,,,,,,,,0.74,,,
Armenia,ARM,AS,2018,39.39,53.08,11.49,55.7,20.87,-0.15,-0.02,-0.35,0.33,-0.11,-0.44,35,5,4,3.6,3.1,2.6,4.4,6.9,6.4,4406.71,5.23,6.6,0,0,32.8,55,41,79,80,69,10.03,32.4,23.5,29.2,68.42,69.98,4.9,0.76,4406.71,69.5,7.4,6.6,4.2,6.4,,,,,,,,,,,,0,32.4,29.8,26.7
Aruba,ABW,NA,2018,,,,75,,1.3,1.06,1.25,0.86,1.31,1.36,,,,,,,,,,,1.2,0,,,,,,,,,,,,,45.14,59.51,,,,,,,,,,,,,,,,,,,,0,,,
Australia,AUS,OC,2018,21.82,21.44,18.69,41.66,23.11,1.71,1.6,1.81,1.9,1.43,1,77,1,1,4.8,4.3,4.7,5.4,2,0.7,56832.05,2.84,7.5,0.32,1.34,52,79,77,89,86,81,9.28,,,,81.51,67.73,1.89,0.938,56832.05,20.8,1.7,1.9,1.9,0.7,,,,,,,,,,,,0.21,,,
